"season","season_week","week_start_date","denv1_cases","denv2_cases","denv3_cases","denv4_cases","other_positive_cases","additional_cases","total_cases"
"1996/1997",6,"1996-06-03",0,0,0,0,2,0,2
"1996/1997",7,"1996-06-10",0,0,0,1,2,1,4
"1996/1997",8,"1996-06-17",3,1,0,0,2,0,6
"1996/1997",9,"1996-06-24",2,0,0,1,3,0,6
"1996/1997",10,"1996-07-01",0,1,0,2,0,1,4
"1996/1997",11,"1996-07-08",0,0,0,2,2,2,6
"1996/1997",12,"1996-07-15",1,2,0,1,5,2,11
"1996/1997",13,"1996-07-22",2,1,0,0,10,3,16
"1996/1997",14,"1996-07-29",1,0,0,2,5,1,9
"1996/1997",15,"1996-08-05",1,2,0,1,7,1,12
"1996/1997",16,"1996-08-12",1,2,0,0,7,3,13
"1996/1997",17,"1996-08-19",0,4,0,1,18,4,27
"1996/1997",18,"1996-08-26",1,0,0,2,13,5,21
"1996/1997",19,"1996-09-02",2,2,0,1,11,3,19
"1996/1997",20,"1996-09-09",1,1,0,0,13,2,17
"1996/1997",21,"1996-09-16",1,1,0,1,18,3,24
"1996/1997",22,"1996-09-23",2,0,0,1,16,8,27
"1996/1997",23,"1996-09-30",1,1,0,1,19,8,30
"1996/1997",24,"1996-10-07",0,1,0,1,21,6,29
"1996/1997",25,"1996-10-14",1,1,0,1,14,8,25
"1996/1997",26,"1996-10-21",0,0,0,2,23,10,35
"1996/1997",27,"1996-10-28",2,1,0,2,20,8,33
"1996/1997",28,"1996-11-04",1,3,0,0,21,5,30
"1996/1997",29,"1996-11-11",1,2,0,1,13,12,29
"1996/1997",30,"1996-11-18",3,0,0,3,15,10,31
"1996/1997",31,"1996-11-25",0,1,0,4,22,2,29
"1996/1997",32,"1996-12-02",0,4,0,4,11,3,22
"1996/1997",33,"1996-12-09",2,1,0,3,15,6,27
"1996/1997",34,"1996-12-16",1,1,0,3,15,4,24
"1996/1997",35,"1996-12-23",0,1,0,4,16,5,26
"1996/1997",36,"1997-01-01",2,1,0,1,19,6,29
"1996/1997",37,"1997-01-08",0,0,0,3,18,1,22
"1996/1997",38,"1997-01-15",0,0,0,2,26,5,33
"1996/1997",39,"1997-01-22",0,3,0,1,12,8,24
"1996/1997",40,"1997-01-29",0,2,0,0,19,9,30
"1996/1997",41,"1997-02-05",0,1,0,0,15,4,20
"1996/1997",42,"1997-02-12",2,1,0,0,9,5,17
"1996/1997",43,"1997-02-19",2,1,0,0,17,4,24
"1996/1997",44,"1997-02-26",0,1,0,4,16,7,28
"1996/1997",45,"1997-03-05",2,0,0,0,11,5,18
"1996/1997",46,"1997-03-12",0,0,0,1,9,3,13
"1996/1997",47,"1997-03-19",0,0,0,2,4,3,9
"1996/1997",48,"1997-03-26",0,0,0,1,12,1,14
"1996/1997",49,"1997-04-02",1,0,0,0,9,1,11
"1996/1997",50,"1997-04-09",0,0,0,0,10,1,11
"1996/1997",51,"1997-04-16",2,0,0,1,14,2,19
"1996/1997",52,"1997-04-23",0,0,0,1,9,0,10
"1997/1998",1,"1997-04-30",0,0,0,1,7,0,8
"1997/1998",2,"1997-05-07",0,0,0,1,7,0,8
"1997/1998",3,"1997-05-14",1,0,0,1,7,0,9
"1997/1998",4,"1997-05-21",0,0,0,0,3,0,3
"1997/1998",5,"1997-05-28",0,0,0,0,7,0,7
"1997/1998",6,"1997-06-04",0,0,0,0,11,3,14
"1997/1998",7,"1997-06-11",0,0,0,0,4,0,4
"1997/1998",8,"1997-06-18",1,0,0,1,4,3,9
"1997/1998",9,"1997-06-25",0,0,0,0,9,5,14
"1997/1998",10,"1997-07-02",0,0,0,1,4,2,7
"1997/1998",11,"1997-07-09",0,0,0,1,7,1,9
"1997/1998",12,"1997-07-16",0,0,0,0,2,1,3
"1997/1998",13,"1997-07-23",0,0,0,0,3,0,3
"1997/1998",14,"1997-07-30",2,0,0,2,8,2,14
"1997/1998",15,"1997-08-06",1,0,0,1,10,0,12
"1997/1998",16,"1997-08-13",0,0,0,0,10,0,10
"1997/1998",17,"1997-08-20",2,0,0,1,17,1,21
"1997/1998",18,"1997-08-27",1,0,0,2,21,2,26
"1997/1998",19,"1997-09-03",1,1,0,2,30,13,47
"1997/1998",20,"1997-09-10",3,1,0,5,25,8,42
"1997/1998",21,"1997-09-17",4,1,0,0,18,8,31
"1997/1998",22,"1997-09-24",1,2,0,0,19,12,34
"1997/1998",23,"1997-10-01",0,0,0,1,23,9,33
"1997/1998",24,"1997-10-08",0,0,0,9,33,10,52
"1997/1998",25,"1997-10-15",2,3,0,5,24,22,56
"1997/1998",26,"1997-10-22",4,0,0,8,38,20,70
"1997/1998",27,"1997-10-29",2,0,0,2,68,40,112
"1997/1998",28,"1997-11-05",0,0,0,0,35,35,70
"1997/1998",29,"1997-11-12",1,0,0,1,23,22,47
"1997/1998",30,"1997-11-19",2,1,0,3,34,8,48
"1997/1998",31,"1997-11-26",1,1,0,2,28,17,49
"1997/1998",32,"1997-12-03",0,0,0,1,31,34,66
"1997/1998",33,"1997-12-10",0,0,0,2,37,17,56
"1997/1998",34,"1997-12-17",0,0,0,1,34,26,61
"1997/1998",35,"1997-12-24",0,3,0,3,36,25,67
"1997/1998",36,"1998-01-01",0,2,1,1,39,21,64
"1997/1998",37,"1998-01-08",2,0,0,3,41,22,68
"1997/1998",38,"1998-01-15",3,0,0,4,28,14,49
"1997/1998",39,"1998-01-22",0,0,1,2,34,13,50
"1997/1998",40,"1998-01-29",1,0,0,2,42,11,56
"1997/1998",41,"1998-02-05",2,3,0,4,49,17,75
"1997/1998",42,"1998-02-12",2,1,0,4,37,19,63
"1997/1998",43,"1998-02-19",1,2,0,5,43,11,62
"1997/1998",44,"1998-02-26",3,0,0,1,31,6,41
"1997/1998",45,"1998-03-05",2,2,0,9,32,5,50
"1997/1998",46,"1998-03-12",2,1,0,4,24,3,34
"1997/1998",47,"1998-03-19",2,1,0,5,23,0,31
"1997/1998",48,"1998-03-26",4,2,0,4,23,5,38
"1997/1998",49,"1998-04-02",1,0,0,4,23,2,30
"1997/1998",50,"1998-04-09",0,0,0,5,24,3,32
"1997/1998",51,"1998-04-16",3,0,0,4,17,2,26
"1997/1998",52,"1998-04-23",2,1,1,7,18,1,30
"1998/1999",1,"1998-04-30",4,2,0,1,27,2,36
"1998/1999",2,"1998-05-07",2,0,0,7,24,2,35
"1998/1999",3,"1998-05-14",5,0,0,9,30,2,46
"1998/1999",4,"1998-05-21",1,4,0,6,33,4,48
"1998/1999",5,"1998-05-28",3,1,2,7,27,4,44
"1998/1999",6,"1998-06-04",5,1,0,9,33,3,51
"1998/1999",7,"1998-06-11",6,1,0,10,37,5,59
"1998/1999",8,"1998-06-18",1,3,2,4,51,10,71
"1998/1999",9,"1998-06-25",11,2,0,12,65,12,102
"1998/1999",10,"1998-07-02",3,1,0,3,87,34,128
"1998/1999",11,"1998-07-09",8,1,0,17,71,30,127
"1998/1999",12,"1998-07-16",11,5,0,8,63,63,150
"1998/1999",13,"1998-07-23",4,5,1,9,93,79,191
"1998/1999",14,"1998-07-30",2,3,5,9,119,118,256
"1998/1999",15,"1998-08-06",6,7,2,11,105,198,329
"1998/1999",16,"1998-08-13",8,3,2,15,70,165,263
"1998/1999",17,"1998-08-20",5,1,0,11,58,145,220
"1998/1999",18,"1998-08-27",7,4,2,12,58,121,204
"1998/1999",19,"1998-09-03",1,1,0,5,44,130,181
"1998/1999",20,"1998-09-10",0,0,2,0,19,78,99
"1998/1999",21,"1998-09-17",0,0,0,2,28,24,54
"1998/1999",22,"1998-09-24",2,1,5,4,27,41,80
"1998/1999",23,"1998-10-01",2,1,2,2,42,53,102
"1998/1999",24,"1998-10-08",6,1,1,4,49,66,127
"1998/1999",25,"1998-10-15",0,1,1,3,42,26,73
"1998/1999",26,"1998-10-22",1,1,4,4,40,18,68
"1998/1999",27,"1998-10-29",0,1,0,0,38,25,64
"1998/1999",28,"1998-11-05",2,1,2,1,25,24,55
"1998/1999",29,"1998-11-12",1,3,2,5,30,26,67
"1998/1999",30,"1998-11-19",1,3,3,2,43,32,84
"1998/1999",31,"1998-11-26",1,3,7,4,54,16,85
